Ratio-K-0.2-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
fixed_size,512.0,200.0,0.4762500000000001,0.9691170574539412,0.9302113949129416,0.925615328079419
semantic_chunks_90,,,0.43125,0.9217653508771928,0.9091412082883894,0.9383151285368557
recursive,2048.0,0.0,0.492857142857143,0.9954545454545455,0.9944805194805195,0.9592743208017763
recursive,1024.0,200.0,0.4803030303030302,0.9828042328042328,0.9597891529261477,0.9498240072402039
semantic_chunks_95,,,0.4576923076923077,0.9800000000000001,0.9733805515472183,0.9457785793656293
fixed_size,1024.0,200.0,0.4870967741935483,0.9869047619047621,0.9827865445608268,0.9375471139721551
recursive,2048.0,200.0,0.47333333333333333,0.9954545454545455,0.9876067985045257,0.9455540705770815
fixed_size,1024.0,0.0,0.4920000000000001,0.9842956656346749,0.9797569737672778,0.9498962918404981
recursive,1024.0,0.0,0.48387096774193533,0.9819517543859648,0.9740345979288477,0.942191227035465
fixed_size,2048.0,0.0,0.49230769230769245,0.9949999999999999,0.9924938271604938,0.9504959658952986
recursive,512.0,200.0,0.4638157894736842,0.9701923752982691,0.9142269069512358,0.9005101176439542
recursive,512.0,0.0,0.4457746478873239,0.9503438151856489,0.8896318414052933,0.8939145289556472
fixed_size,512.0,0.0,0.469,0.9699364735548945,0.9394637944511244,0.9308573297298652
markdown_header,,,0.4568965517241379,0.951590174531351,0.9244935605757778,0.9267562010893237
markdown_header_parent,,,0.4724137931034482,0.9685714285714286,0.953618239668357,0.9312428681493415
fixed_size,2048.0,200.0,0.492857142857143,0.9954545454545455,0.9906382001836546,0.9480520402311552
