Ratio-K-0.09-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
recursive,1024.0,0.0,0.8142857142857143,0.8200438596491229,0.8172332845030214,0.934869788104981
fixed_size,512.0,200.0,0.7777777777777778,0.782594267165174,0.7641225492448537,0.9086303226434224
recursive,1024.0,200.0,0.7866666666666666,0.813578551078551,0.7983267874101208,0.9374407840650573
semantic_chunks_95,,,0.7416666666666667,0.8183333333333334,0.8183333333333334,0.9351806654292278
fixed_size,2048.0,200.0,0.825,0.803030303030303,0.803030303030303,0.928936762103936
recursive,512.0,200.0,0.7735294117647059,0.7898923774396611,0.7586800307132965,0.8784197151270565
recursive,2048.0,200.0,0.8071428571428572,0.8517171717171717,0.8510028860028861,0.9302964161291569
recursive,2048.0,0.0,0.825,0.803030303030303,0.803030303030303,0.9394745408731799
markdown_header_parent,,,0.7923076923076924,0.7754492198977493,0.7602471578274039,0.8607110081526205
fixed_size,1024.0,200.0,0.8035714285714286,0.8160087719298245,0.8160087719298245,0.9220886696953757
fixed_size,1024.0,0.0,0.8181818181818181,0.8036068111455108,0.8036068111455108,0.938449770876451
fixed_size,512.0,0.0,0.7886363636363637,0.7896297613402876,0.772960125708211,0.9162682350349873
markdown_header,,,0.8076923076923077,0.801158792188204,0.7964025438069555,0.9121418345827971
fixed_size,2048.0,0.0,0.7916666666666667,0.82,0.82,0.9349288531783957
recursive,512.0,0.0,0.765625,0.7862756217062515,0.7540524945437163,0.8755075395616714
semantic_chunks_90,,,0.6818181818181819,0.7588633040935673,0.7535729000531632,0.9298825011715925
