Ratio-K-0.1-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Noise,Recall,MAP,NDCG
semantic_chunks_95,,,0.3095238095238095,0.8630952380952381,0.9940476190476191,0.9192791005291006,0.9448019687801475
recursive,2048.0,0.0,0.33928571428571425,0.8404761904761905,0.9520833333333334,0.8306431878306878,0.8740663634255686
markdown_header_parent,,,0.17500000000000002,0.9111111111111111,1.0,0.882983362536934,0.9282261864951223
fixed_size,2048.0,0.0,0.3819444444444444,0.8291666666666666,0.9861111111111112,0.8850694444444445,0.9134118281226468
