Token-Limit-3000-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
fixed_size,512.0,200.0,0.8586956521739131,0.6088297877479255,0.5958709596055505,0.8857083142341832
semantic_chunks_90,,,0.7791178266178266,0.7055190058479532,0.7010233918128654,0.9234592496450891
recursive,2048.0,0.0,0.7940476190476191,0.803030303030303,0.803030303030303,0.9394745408731797
recursive,1024.0,200.0,0.8056776556776558,0.7813542938542938,0.766358262108262,0.9350769528185252
semantic_chunks_95,,,0.8189285714285713,0.705,0.705,0.906956905044406
fixed_size,1024.0,200.0,0.8541666666666664,0.7298402255639098,0.7298402255639098,0.9097424703647059
recursive,2048.0,200.0,0.819047619047619,0.8007575757575756,0.8007575757575756,0.9248385801812635
fixed_size,1024.0,0.0,0.8030303030303031,0.8150619195046438,0.8150619195046438,0.9391232468669527
recursive,1024.0,0.0,0.7939583333333335,0.8154605263157894,0.812649951169688,0.9350202136220531
fixed_size,2048.0,0.0,0.8250000000000002,0.7833333333333332,0.7833333333333332,0.9325815292375467
recursive,512.0,200.0,0.7998870934636371,0.7435359351734379,0.7162391813678312,0.8706968608435839
recursive,512.0,0.0,0.7646662277257956,0.7626013623351027,0.7337869422288786,0.8731804700194209
fixed_size,512.0,0.0,0.7697463768115942,0.8065958302800407,0.7893510199309131,0.9196318639349039
markdown_header,,,0.8293555509248233,0.7440688233335291,0.7373571774086478,0.9065124227265302
markdown_header_parent,,,0.8147792607003133,0.7908868092691621,0.7867991087752115,0.9192879100118324
fixed_size,2048.0,200.0,0.8350000000000002,0.757070707070707,0.757070707070707,0.9202259881337225
