Ratio-K-0.08-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
recursive,1024.0,0.0,0.8458333333333334,0.7543960863697705,0.7525711483935169,0.9279226966120252
fixed_size,512.0,200.0,0.8125,0.743000487880281,0.7278934332047748,0.9042608993360643
recursive,1024.0,200.0,0.8307692307692308,0.7709656084656085,0.7559695767195767,0.9342494468588638
semantic_chunks_95,,,0.8,0.7694444444444445,0.7694444444444445,0.9249298647449862
fixed_size,2048.0,200.0,0.825,0.803030303030303,0.803030303030303,0.928936762103936
recursive,512.0,200.0,0.805,0.7425798223330463,0.7156239919398792,0.8701655229334051
recursive,2048.0,200.0,0.8583333333333334,0.8007575757575758,0.8007575757575758,0.9248385801812635
recursive,2048.0,0.0,0.825,0.803030303030303,0.803030303030303,0.9394745408731799
markdown_header_parent,,,0.8208333333333334,0.7502389522242463,0.7375364550686242,0.8574199471069581
fixed_size,1024.0,200.0,0.8541666666666666,0.7708646616541353,0.7708646616541353,0.91700849993462
fixed_size,1024.0,0.0,0.85,0.7760061919504644,0.7760061919504644,0.9316434966549461
fixed_size,512.0,0.0,0.8175000000000001,0.759680553759501,0.7435537370912961,0.911300882386097
markdown_header,,,0.8416666666666666,0.7799785018902666,0.7752222535090182,0.9157301622139686
fixed_size,2048.0,0.0,0.85,0.7666666666666667,0.7666666666666667,0.9340434330706844
recursive,512.0,0.0,0.8017857142857142,0.738557911829442,0.7106583974825045,0.8682567821522913
semantic_chunks_90,,,0.7222222222222222,0.7007127192982456,0.6959247076023392,0.9172877989943929
